Query;Database Type;Hour of the day;Time in ms;Run ID
Students in a course;Relational Database;10;1;1
Students in a course;Relational Database;10;1;2
Students in a course;Relational Database;10;1;3
Students in a course;Relational Database;10;1;4
Students in a course;Relational Database;10;1;5
Students in a course;Relational Database;10;1;6
Students in a course;Relational Database;10;1;7
Students in a course;Relational Database;10;1;8
Students in a course;Relational Database;10;2;9
Students in a course;Relational Database;10;1;10
Students in a course;Graph Database;10;72;1
Students in a course;Graph Database;10;2;2
Students in a course;Graph Database;10;2;3
Students in a course;Graph Database;10;2;4
Students in a course;Graph Database;10;3;5
Students in a course;Graph Database;10;2;6
Students in a course;Graph Database;10;2;7
Students in a course;Graph Database;10;1;8
Students in a course;Graph Database;10;3;9
Students in a course;Graph Database;10;2;10
Students in a course;Graph Database;13;134;1
Students in a course;Graph Database;13;2;2
Students in a course;Graph Database;13;1;3
Students in a course;Graph Database;13;2;4
Students in a course;Graph Database;13;2;5
Students in a course;Graph Database;13;3;6
Students in a course;Graph Database;13;2;7
Students in a course;Graph Database;13;2;8
Students in a course;Graph Database;13;2;9
Students in a course;Graph Database;13;2;10
Students in a course;Graph Database;16;31;1
Students in a course;Graph Database;16;3;2
Students in a course;Graph Database;16;2;3
Students in a course;Graph Database;16;1;4
Students in a course;Graph Database;16;2;5
Students in a course;Graph Database;16;2;6
Students in a course;Graph Database;16;2;7
Students in a course;Graph Database;16;2;8
Students in a course;Graph Database;16;3;9
Students in a course;Graph Database;16;2;10
Students in a course;Graph Database;18;29;1
Students in a course;Graph Database;18;3;2
Students in a course;Graph Database;18;2;3
Students in a course;Graph Database;18;1;4
Students in a course;Graph Database;18;2;5
Students in a course;Graph Database;18;3;6
Students in a course;Graph Database;18;2;7
Students in a course;Graph Database;18;3;8
Students in a course;Graph Database;18;2;9
Students in a course;Graph Database;18;1;10
Students in a course;Graph Database;20;129;1
Students in a course;Graph Database;20;5;2
Students in a course;Graph Database;20;2;3
Students in a course;Graph Database;20;1;4
Students in a course;Graph Database;20;1;5
Students in a course;Graph Database;20;3;6
Students in a course;Graph Database;20;4;7
Students in a course;Graph Database;20;2;8
Students in a course;Graph Database;20;2;9
Students in a course;Graph Database;20;2;10
Students in a course;Graph Database;21;39;1
Students in a course;Graph Database;21;2;2
Students in a course;Graph Database;21;1;3
Students in a course;Graph Database;21;3;4
Students in a course;Graph Database;21;2;5
Students in a course;Graph Database;21;2;6
Students in a course;Graph Database;21;3;7
Students in a course;Graph Database;21;3;8
Students in a course;Graph Database;21;2;9
Students in a course;Graph Database;21;2;10
